movieid,title,genre,id,img_path,summary
1650,Washington Square (1997),['Drama'],1650,dataset/ml1m-images\1650.jpg," ""Washington Square"" is a 20th-century American play by Arthur Miller. It tells the story of Bill Calhoun, a struggling writer who falls in love with Sally Hayes, a young woman from an upper-class family. The play explores themes such as class, ambition, and social status in 1840s New York City.

The play was first produced on Broadway in 1956, starring Lauren Bacall as Sally Hayes and Montgomery Clift as Bill Calhoun. In recent years, it has been revived several times, including a successful production at the Roundabout Theatre Company in 2013.</s>"
185,"Net, The (1995)","['Sci-Fi', 'Thriller']",185,dataset/ml1m-images\185.jpg," ""Net"" is a 20th-century American play by Paula Vogel. It tells the story of Molly Diamond, a young Jewish girl who comes to terms with her identity and sexuality while navigating life in 1940s New York City. The play explores themes such as history, tradition, and cultural assimilation.

In 2015, ""Net"" won the Pulitzer Prize for Drama and was later adapted into an HBO movie starring Cate Blanchett. The play continues to be widely performed and celebrated for its powerful examination of identity politics and personal struggle.</s>"
1377,Batman Returns (1992),"['Action', 'Adventure', 'Comedy', 'Crime']",1377,dataset/ml1m-images\1377.jpg," ""Batman Returns"" is a superhero film directed by Tim Burton and released in 1992. It stars Michael Keaton reprising his role as Bruce Wayne/Batman, alongside Danny DeVito playing the Joker. Set two decades after the events of the previous film (""Batman""), this installment finds Gotham City under threat from both new enemies - Catwoman (played by Michelle Pfeiffer) and the returning villainous Joker. The film received critical acclaim upon release and remains one of the highest-grossing films of all time. Its darker tone and more mature subject matter have had a lasting impact on the Batman franchise, influencing future adaptations and helping to cement its place as one of popular culture's most iconic characters.</s>"
3204,"Boys from Brazil, The (1978)",['Thriller'],3204,dataset/ml1m-images\3204.jpg,"  ""Boys from Brazil"" is a horror thriller film written and directed by Fritz Lang. Released in 1978, the film takes place in Brazil during the early 1970s and follows an investigator named Magnus about his search for a missing journalist. He discovers that the journalist had been searching for evidence about a secret government project aimed at cloning Adolf Hitler and creating a ""Fourth Reich.""

Throughout the film, Magnus encounters strange happenings, mysterious figures, and paranoia, leading him deeper into the conspiracy. Ultimately, he realizes that the boys being kidnapped around Brazil are part of the experiment to create Hitler's clone. The film raises questions about cloning, genetic engineering, and the potential consequences of playing God. It also delves into political corruption and the dangers of allowing power to be held by extremist groups. Despite some controversy over its depiction of Nazi ideology and violence, ""Boys from Brazil"" remains a classic of suspense cinema.</s>"
1901,Dear Jesse (1997),['Documentary'],1901,dataset/ml1m-images\1901.jpg,"  ""Dear Jesse"" is an American comedy drama film directed by Chris Columbus and released in 1997. Written by Tina Barrett, John Whelan and Walter Parks, the movie is set in small-town Ohio and focuses on the friendship between teenagers Vince MacGowan and Jesse Owens. While dealing with high school drama and bullies, the friends write letters to each other expressing their hopes, fears, and desires for the future. As they grow older and navigate the complexities of adolescence, their relationship faces challenges but ultimately strengthens.

Despite limited box office success, ""Dear Jesse"" garnered positive reviews and has since become a cult classic due to its unique blend of humor and heartfelt moments. The film has resonated with audiences due to its portrayal of the struggles faced by many young people trying to find their way in the world.</s>"
758,"Jar, The (Khomreh) (1992)",['Drama'],758,dataset/ml1m-images\758.jpg," ""The Jar"" is a 1992 Iranian drama film directed by Esmail Kiarostami. It tells the story of an elderly couple who are forced to leave their home and belongings due to a flood in Tehran. As they navigate through the chaos of displacement, they discover secrets about each other's past that threaten to tear them apart. The film has become a cult classic and is known for its minimalist style and powerful performances.</s>"
1636,Stag (1997),"['Action', 'Thriller']",1636,dataset/ml1m-images\1636.jpg," ""Stag"" is a 1997 American short film directed by Jeff Nichols. It tells the story of two hunters on a trip to hunt deer in rural Oklahoma when they stumble upon a group of eccentric locals with their own set of strange traditions and rituals. The hunters must decide whether to follow these customs or venture on their own. The film features striking cinematography and atmospheric tension, becoming an iconic work of modern horror cinema.</s>"
2382,Police Academy 5: Assignment: Miami Beach (1988),['Comedy'],2382,dataset/ml1m-images\2382.jpg,"  ""Police Academy 5: Assignment: Miami Beach"" is a 1988 comedy-action film sequel to the popular franchise ""Police Academy."" This installment follows the graduates from the previous films as they take on new assignments in South Florida. They encounter corruption within the local police department and struggle to maintain order in a chaotic city environment. The film stars Michael Hyde and Steve Guttenberg reprising their roles as Carey Mahoney and Lieutenant Frank Drebin, respectively. While it received mixed reviews from critics, it remains a fan favorite and continues to be a beloved part of the franchise's history.</s>"
3126,"End of the Affair, The (1955)",['Drama'],3126,dataset/ml1m-images\3126.jpg,"  ""End of the Affair"" is a 1955 British noir thriller directed by Otto Preminger. Set post World War II London, the film follows a private detective named Harry Brock who investigates a mysterious affair between his best friend and wife. The investigation leads him down a dark path filled with deceit, betrayal, and danger as he uncovers shocking secrets about those closest to him. Starring John Garfield and Bette Davis, the film explores themes of love, loyalty, and the consequences of one's actions. With its compelling plot and memorable performances, ""End of the Affair"" stands as a classic example of Preminger's unique filmmaking style and genre mastery.</s>"
2440,Another Day in Paradise (1998),['Drama'],2440,dataset/ml1m-images\2440.jpg,"   ""Another Day in Paradise"" is a 1998 crime drama film starring Bruce Willis and BMW i8. Directed by Taylor Hackford, the film follows a group of high-rollers who embark on a dangerous game night at the luxurious Casino Royale in Las Vegas. When things go awry, the group finds themselves caught up in a deadly chase involving a wealthy businessman and corrupt cops. As they try to escape, they realize that they have become unwitting pawns in a larger conspiracy involving blackmail and murder. Filled with action, suspense, and unexpected twists, ""Another Day in Paradise"" offers a thrilling experience that keeps viewers guessing until the very end.</s>"
